address,allocation
0x2ee68752673de967d04771e77ba5d51f987d58a8,0.0452%
0x1a391ed9c81ee86a3774d80755440136633cc8ec,0.0452%
0xfddfdcc454bad20f9255a2efa0a2fe9ed9cae305,0.0452%
0x8a75bd212f2a8a37956c1bdedab6be2be4fffafc,0.0452%
0xf534e2229393105d910965927a2f3e0a7bf35086,0.0451%
0xf96738a031d33dab30319bc2bd57e695bbc837f2,0.0451%
0x2eb28c817e58653cd795264a821b179687d1972b,0.0451%
0x140b05a0ded922ce578ca56dda4f12d7b9dd152d,0.0451%
0x7332ef61d1cd0c57bebfff2efd0812e8957c9f09,0.0451%
0x1a72339d138a408338666d40cf7c3d981152f618,0.0451%
0xfe51c5e9ffde82bb8cb3adcdbefd17268cc3e0ff,0.0866%
0xa3b567a5675051875bec804325076212f63921b2,0.0451%
0x79e4b6b35b043c74866e30649a01747c56933101,0.0451%
0xb1c149e2aced5bbcb89aeb3f7d075c13cbcacfcb,0.0451%
0xa05a32985cdff3ba7c91fdd2172b517e5b0d267e,0.0451%
0x8a4c20981a5aed925c5c2ef5a400a1c39b24aa5c,0.0451%
0x10feedbb4aa115357145878fbacb02265fcfe1a7,0.0450%
0xf164cf0351a9d3285f306bc6577e4da12d82df8c,0.0450%
0x2aae4779085bef3af43cd27333b05d59b5931681,0.0450%
0x37605ce262fac9082229bbb84ec51f392a34c13d,0.0450%
0x91f6ec3034018aa28962c51ff55ca6e173b34c89,0.0625%
0x51bba006a9ad47ed530f43c29d910b0f448d147a,0.0449%
0x08a71ee1b93738212b28900cafb3f5f36136f41e,0.0449%
0x42e94cac2efcc0821cbe130b2ffd1b3ef85333c2,0.0448%
0xb4db3617b76a04acd4274987e93fa2d92ffdd4a3,0.0822%
0xb23476a325ea68a5a31790365e8b85ba3f27a51d,0.0998%
0x968311708bf80271caee1636744dc51a3ac2143a,0.0725%
0x13acd21ec714c93c0d3e8d407d9dee8d268a8b85,0.1226%
0x95e75512b2ef7cd9789863bbaa613f44a43e4dd8,0.0509%
0xb23e32e08ee52d5176e3fe36150f369e1bf5e8a4,0.0996%
0x13c58f8337401b17a29ae9d68a805e39e38c8e92,0.0782%
0xe3b7722d16b14eef8397e5c6ca50496488ca5113,0.0782%
0x6fecc8fa6820e7e16ec9839837864f76ee9fb52c,0.0439%
0x34bc3ccf60bb87ee05c68dd46210e5265d6cc3c7,0.1167%
0x7501c8548478ffc6e3a2175f93a68a886e3bb75b,0.0436%
0x957e127a1d299e775b6e4e3cfb061c4b1407ee14,0.0386%
0x46b5aedf8fe8ec840085642edc6619dcb3f49c1a,0.0814%
0x8460543495edab9d57c776d60afebc0d680276f9,0.0537%
0x4d85efb860aa3fd680da554f0273c2dd1a49411a,0.0723%
0x53775ecabacf4882a0c4e450a4fd95376d947ae0,0.0387%
0xe2a245f6b3f354392c23a63b623fc908e7246331,0.1165%
0xb696d48ef52670cdfc719259d0e1bff994bcabde,0.1379%
0x264e317078d81ea828c234e5cda845126eaf0234,0.1021%
0xe2a500a3e99cc4bd07a293d486933756c839a966,0.0753%
0x794e3be2450ac9630f9238d3f2c04e4ea61dc0ab,0.0589%
0xd4ac545ed54576fe3c23af0ada9e1bb4e9eccc14,0.0720%
0x0275ddd99e992f6e2c029c7bd516964387aa2ff9,0.0151%
0xffb5999828236e2fec8cfe4d24845efcc608a49c,0.1430%
0xad1467cfca4eee70f2edf18b27c657e1bd7ebc19,0.0999%
0xee51d341a8448c868d9fdffde879845fe0974d0b,0.1126%
0x8d9c9827d4006bc9792dd52a6fd503bd98cb40ba,0.0640%
0xf701c97449861083ad7b33dda969f436f35c1f2b,0.0801%
0x6de855f9b1b2d214209509191070cc2b1ad37960,0.0319%
0x22a382aa53af8d58b50c2fd81ad544c2e8a6218a,0.1281%
0x0bf6af64903f8627d557ffb6d8d4d93019e9bbdb,0.1619%
0x074f7d6004ef5a290a163afe9951b9d8f6b79382,0.0604%
0x75eab25d957590881b701002f07836a2b5b8e2f0,0.0424%
0x7fac75bcae3bc7e0f04d25b3988c14ba197e6f2a,0.0752%
0x26a991770d72c1ff9246eadbde07a3fea8bf223b,0.0943%
0xfb4a3385a404e563585e57a9eec32bfaac73a15c,0.0633%
0x0cca90a4ba750fc7f970019df3e1e01c8f2ccd4e,0.0765%
0x64af2c0744b68335dbce0a8df2ac1a8bd44e5fb0,0.0712%
0xca22d7894aefc2621f27221a2c18300370500e6d,0.0265%
0x08db60ef88a7de32126d10b5f4ef5d52ad749658,0.0834%
0xad9b161168db9d32b0659bc61021a6634574a61c,0.0833%
0xbccb0fec788b3065c40226490f43aa71be110e4a,0.0834%
0x88cc887af482684bd6165342c877c43d89e62d48,0.0540%
0xeef9f12cdfe9e79709dbf6879d0c12c0b367013b,0.0416%
0xb076e91fdffb552246be4c13af224356c88c084d,0.0832%
0xf47c17e3a072484beef8cc4d64a712128e0965e6,0.0931%
0x79f095c916abf6861333939b44453d1f4db4134c,0.1367%
0x9a660ea8b69d00a8ab4c4c6561a0dbbf9b6c6811,0.0625%
0x42d310348d979278f5d353b2b40ca6cf60d9276c,0.1659%
0xfb79ea991f16f1a4b3c4f13d8fcdefdc2be37af2,0.0963%
0x0bc73b68117c7d33b0fda94d238c0779e87ce93a,0.0400%
0x8b21a0d8917625f91ce45ef01042e1d81b6deee2,0.0927%
0x50e49a3237454e3538bcccee025282e30e2c509d,0.0695%
0x93d7c80eee39bfe8655078077c72780f1c992bac,0.1765%
0xead5878eb0e804d30f2eda336c512e3dc5732505,0.0411%
0x878be58405885eb5f623e439ef69341ea9f6ecb9,0.0753%
0xfeb06b8a7f833ac00dc93b783680be3aa6324787,0.0925%
0x25da6d2e79cc8b74d2bb5248e61234f85e1a4cdc,0.1206%
0x976d7fe30dad18190c6e9860fca35f08752bb49a,0.0925%
0x2b48825c58c9e8d34a7d4a86c034b0dd9e4f2aaa,0.0511%
0x81de002ee689965906333e3e32aebdad12b5bb63,0.0398%
0xa52412e099eb1ae16864d31dafb77d96f7aebed0,0.0256%
0xfad3633454841ba4277b59492e2e18f69ce9df5e,0.1010%
0x941ad0e9a072305d39a37992b244c18adba8c0f6,0.0922%
0x5d6009d9acf734efa73c8c815eab08a5dd78111b,0.0701%
0x1b08afb11d20b1802becc6b851795d83e3208faf,0.1077%
0x7d4f78cc092f337823d2626ce38b9f2b9c3fd0e6,0.0750%
0x8e48f99c8b09417a1b1a196f272b3109da829d47,0.0409%
0x09af0d4ec0c174895846d553b3890a6562bfc10b,0.0529%
0xfc0feb272f1481759172777e6f3c24b5d929ca71,0.0922%
0xa8fa9462f23bf01ff533c6800c50c92a755ab962,0.0640%
0x0e0b6b12717d029047bc039460016782ce458e0e,0.0814%
0x54f8fed14359133e2d0a1f92567ee50d0d61218e,0.0589%
0x95d3ca0a1643c4ab20708e64f53683d16554347e,0.0993%
0xaef64e2462d044b35e4b016e31c7fdaae92bec92,0.0821%
0xdd080cc45e0c5e594d8ae08d0772e6a04fcb0773,0.1427%
0x37cff9e75f3e1279a0c1645d1364498f3724468b,0.0820%
0x0bffa82b1e1c225a8dcfe230652982889e463a16,0.0820%
0xf417e3ca84e5edfbb711d4a2f2107999359ffaeb,0.1006%
0x4ee8a9b66740db935bfe9e6ab42ac92d1789fa1f,0.0353%
0x56715c76c3c22b2dfd6b2b3275bb8ce83e2a0fcf,0.1007%
0xd22769fd3ee303ea8facaf9294f6ca526ac8d643,0.1689%
0xa4c64e81cdd162180bb7d0b4c3b50cd52372b40a,0.0385%
0xf6bacfa5bb84429aeddacf6860f69274e3c11832,0.0335%
0x3fd1baf0ebf3ae84b436fcfa22cfef5e639d93c2,0.0638%
0x65e24442b16602d95883d2379ae7069a6de8910a,0.1761%
0x36f8e2f70b4638335222ccca3d3b584ab9058984,0.0921%
0x246be6e2895c739df37e1f1d301d74614d061a86,0.0269%
0x7c760d3035955629ac68deb49852c7f85f432032,0.0212%
0xa6df4f27322782ca004e4eadf9e453bd13e8a839,0.0212%
0x513227833f2ce6e65d27f9b1a13807f456e8ee14,0.0212%
0x4951ceb2ce1d7dca2265d6fc5e29c5e4ea2ebc02,0.0212%
0x5a649a236b9ccdcf5c78de83fe7043f16477ea4c,0.1001%
0x19888d3c632d34b5bc3cd05e6f9a95e54250a1a1,0.1365%
0x70c33df3d61c751bc42da00054b785aba103863b,0.1309%
0x823bb9bdd4110c4e78144c9d1a4b643419035b4e,0.1003%
0xf95ac4d250e24faa6720c6b3dc55e6a224ae3ae0,0.0560%
0x6c54dbfb19dddf59a3de1514a2996b01019fdafd,0.1369%
0xe98633fb41abb944fc20eb8ddc017128f6d01cb4,0.0577%
0xd542b586dec57e3c2a3465fab16f463c15f317a3,0.0210%
0x0968a1ba9d989bdd8d5279220875ce8c7a6e5da4,0.0669%
0xaa1dbd98fbed67a249286ecc17cdb63db1a10806,0.0950%
0xc0fb281433c3bc32e15552a4ea8d6a2a27a02d47,0.0694%
0x059f07ab96e4e66be2953dfa91af15ed1e99839b,0.0795%
0xd9e077e066125d7c97d57241b4671bbe36c7a861,0.0377%
0x6387ed2d6d9b4604875c7c9153f7daf7efdb90ab,0.1694%
0xefd807666e402a5b35e3c57172a8ddfb6e0b20c5,0.0507%
0x63a9bdc446dd87579ce397eb3e195d6236a48d83,0.0580%
0x56194d063a4d28f24b9969e68eda8c90c4083d96,0.1064%
0x305df5d0e3858b99ec5c8a6fe7466b393454f3b6,0.1122%
0x9cf94f24ad1d2fddc0dd1397e01a9769259b5f28,0.0398%
0x5fb868276de70305d759d26f6d7f272b7f369bc5,0.0745%
0x0a9643381b7a6fe41e693c4dd0e4cae57bb2bd69,0.1536%
0xcc548974f87f2f33000ce34306e4f7069a3ab711,0.0398%
0x63302523499d4afcd32070d32f536b3a7a614632,0.0360%
0x8407f48b0551c7c3241328e3bc9e5cac02781d3b,0.0360%
0x8ec99903cdca2f5815af66596522584e554e9892,0.0360%
0x1836e621415dc88e4787efbb7e8c3758360d7f08,0.0360%
0x4d9267139e8071ac933681328995a07ecfdd3e5e,0.0360%
0xb3b021c6e3825449cf219736322b66c7446fa6f9,0.0360%
0xff09ac3b1ca6d5e7d689c94f7baaaae4fdddaeca,0.0360%
